route_id,service_id,trip_id,trip_headsign,shape_id,block_id
11,1701,2166988:546520:558916,Cataraqui Centre,1719,558916
701,1701,2166734:546525:558867,Express - Cataraqui Centre via Downtown,1610,558867
7,1708,2169210:546526:558791,Cataraqui Centre,1603,558791
15,1723,2164940:546527:552068,Cataraqui Centre,1730,552068
701,1723,2165413:546528:553100,Express - Cataraqui Centre via Brock/Bath,1377,553100
701,1724,2165413:546528:558813,Express - Cataraqui Centre via Brock/Bath,1377,558813
19,1701,2167144:546530:549235,Cataraqui Centre,1300,549235
15,1723,2164930:546536:552061,Centre 70 Park & Ride,1733,552061
502,1701,2166509:546540:549116,Express - Downtown via Bayridge/Front,1516,549116
701,1701,2166715:546543:558883,Express - Cataraqui Centre via Downtown,1610,558883
22,1723,2165307:546544:552068,Innovation / Highway 15,1727,552068
22,1724,2165307:546544:558821,Innovation / Highway 15,1727,558821
502,1712,2164414:546545:549317,Express - Downtown via Bayridge/Front,1516,549317
19,1708,2168373:546546:549301,Woodhaven,826,549301
10,1708,2168718:546547:549146,Amherstview,1362,549146
7,1701,2167316:546549:558812,Grant Timmins/Dalton via John Counter Blvd,1385,558812
601,1712,2165804:546553:549228,A - Express - Queen's/KGH via Highway 15,1565,549228
19,1712,2164493:546554:551977,Cataraqui Centre,974,551977
4,1708,2168374:546555:549301,Cataraqui Centre via Princess St,1499,549301
22,1723,2165279:546556:553115,Innovation / Highway 15,1727,553115
22,1724,2165279:546556:558851,Innovation / Highway 15,1727,558851
7,1723,2165032:546560:553075,Cataraqui Centre,1418,553075
7,1724,2165032:546560:558927,Cataraqui Centre,1418,558927
11,1701,2166985:546562:558827,Cataraqui Centre,1719,558827
14,1701,2167338:546566:552034,Cataraqui North,1390,552034
502,1723,2164470:546568:553151,Express - Downtown via Bayridge/Front,1516,553151
502,1724,2164470:546568:558798,Express - Downtown via Bayridge/Front,1516,558798
