route_id,service_id,trip_id,trip_headsign,shape_id,block_id
10,1708,2168720:547254:549146,Cataraqui Centre,1396,549146
701,1708,2169008:547255:558925,Express - Cataraqui Centre via Downtown,1610,558925
601,1708,2168955:547257:549294,Express - Queen's/KGH via CFB Kingston,1358,549294
22,1708,2168610:547259:558850,A - Innovation / Highway 15,1725,558850
601,1701,2167501:547266:549355,Express - Queen's/KGH via CFB Kingston,1358,549355
11,1701,2166984:547267:558797,Cataraqui Centre,1719,558797
19,1708,2168546:547269:549316,Cataraqui Centre,1300,549316
802,1701,2166591:547271:558855,Express - Montreal Street Park & Ride,1312,558855
602,1723,2165770:547276:553066,A - Express - Innovation / Highway 15,1574,553066
602,1724,2165770:547276:558915,A - Express - Innovation / Highway 15,1574,558915
14,1701,2167340:547285:551939,Cataraqui North,1390,551939
6,1701,2166981:547287:558800,Cataraqui Centre,1724,558800
601,1701,2167488:547289:549154,Express - Queen's/KGH via CFB Kingston,1358,549154
502,1701,2166516:547291:549116,Express - Cataraqui Centre via Princess,1501,549116
602,1723,2164590:547293:552022,Express - Innovation / Highway 15 via CFB,1471,552022
602,1724,2164590:547293:558943,Express - Innovation / Highway 15 via CFB,1471,558943
502,1701,2166380:547296:549111,Express - Downtown via Bayridge/Front,1516,549111
501,1708,2168018:547308:549395,Express - Cataraqui Centre via Front/Bayridge,1523,549395
22,1708,2168585:547309:558889,A - Innovation / Highway 15,1725,558889
601,1723,2164574:547311:552022,Express - Queen's/KGH via CFB Kingston,1358,552022
601,1724,2164574:547311:558943,Express - Queen's/KGH via CFB Kingston,1358,558943
801,1723,2165592:547313:553081,Express - Cataraqui Centre via Brock/Bath,1468,553081
801,1724,2165592:547313:558767,Express - Cataraqui Centre via Brock/Bath,1468,558767
4,1712,2165124:547322:549100,Downtown via Princess St,1169,549100
14,1723,2165107:547323:553125,Cataraqui North,1390,553125
14,1724,2165107:547323:558890,Cataraqui North,1390,558890
13,1723,2165816:547324:553082,Cataraqui North,1441,553082
13,1724,2165816:547324:558777,Cataraqui North,1441,558777
602,1712,2165788:547325:549286,A - Express - Innovation / Highway 15,1574,549286
7,1701,2167294:547326:558827,Grant Timmins/Dalton via John Counter Blvd,1385,558827
701,1701,2166713:547328:558867,Express - Cataraqui Centre via Downtown,1610,558867
22,1723,2165245:547329:552101,A - First Canada,1438,552101
22,1724,2165245:547329:558818,A - First Canada,1438,558818
602,1708,2168900:547333:549099,Express - Innovation / Highway 15 via CFB,1576,549099
4,1701,2167061:547335:549235,Cataraqui Centre via Princess St,1499,549235
802,1723,2165667:547336:553084,Express - Montreal Street Park & Ride,1312,553084
802,1724,2165667:547336:558770,Express - Montreal Street Park & Ride,1312,558770
15,1723,2164920:547338:552035,Centre 70 Park & Ride,1733,552035
7,1708,2168607:547341:558842,Cataraqui Centre,1418,558842
22,1708,2168517:547342:558791,First Canada via MacCauley,1443,558791
701,1708,2169084:547343:558859,Express - Cataraqui Centre via Brock/Bath,1377,558859
7,1723,2165043:547345:552005,Cataraqui Centre,1418,552005
